LET;IntFlux;DiffFlux
6.99947e+00;2.16795e-01;1.54122e-01
7.07787e+00;2.04779e-01;1.09916e-01
7.15715e+00;1.96114e-01;1.02566e-01
7.23731e+00;1.87938e-01;8.65840e-02
7.31837e+00;1.80958e-01;8.25861e-02
7.40034e+00;1.74227e-01;7.36191e-02
7.48323e+00;1.68158e-01;6.85539e-02
7.56704e+00;1.62444e-01;6.52529e-02
7.65180e+00;1.56945e-01;5.62784e-02
7.73750e+00;1.52148e-01;5.09308e-02
7.82417e+00;1.47759e-01;4.47766e-02
7.91180e+00;1.43857e-01;3.73560e-02
8.00042e+00;1.40565e-01;3.73560e-02
8.09003e+00;1.37236e-01;3.73560e-02
8.18064e+00;1.33870e-01;3.25446e-02
8.27227e+00;1.30905e-01;3.14503e-02
8.36492e+00;1.28007e-01;3.14503e-02
8.45861e+00;1.25077e-01;3.09376e-02
8.55335e+00;1.22162e-01;2.60416e-02
8.64915e+00;1.19681e-01;2.60416e-02
8.74603e+00;1.17173e-01;2.60416e-02
8.84399e+00;1.14636e-01;2.60416e-02
8.94304e+00;1.12070e-01;1.96892e-02
9.04321e+00;1.10109e-01;1.96230e-02
9.14450e+00;1.08133e-01;1.96230e-02
9.24692e+00;1.06134e-01;1.96230e-02
9.35049e+00;1.04113e-01;1.95662e-02
9.45522e+00;1.02075e-01;1.90389e-02
9.56112e+00;1.00070e-01;1.90389e-02
9.66821e+00;9.80428e-02;1.90389e-02
9.77650e+00;9.59925e-02;1.90389e-02
9.88600e+00;9.39194e-02;1.46730e-02
9.99673e+00;9.23037e-02;1.20186e-02
1.01087e+01;9.09655e-02;1.20186e-02
1.02219e+01;8.96123e-02;1.20186e-02
1.03364e+01;8.82440e-02;1.20186e-02
1.04522e+01;8.68603e-02;1.20186e-02
1.05693e+01;8.54611e-02;1.20857e-02
1.06876e+01;8.40384e-02;1.21707e-02
1.08073e+01;8.25896e-02;1.21707e-02
1.09284e+01;8.11245e-02;1.21707e-02
1.10508e+01;7.96431e-02;1.21707e-02
1.11746e+01;7.81451e-02;1.16067e-02
1.12997e+01;7.67005e-02;9.27201e-03
1.14263e+01;7.55335e-02;9.27201e-03
1.15543e+01;7.43535e-02;9.27201e-03
1.16837e+01;7.31602e-02;9.27201e-03
1.18145e+01;7.19536e-02;9.27201e-03
1.19469e+01;7.07335e-02;8.71245e-03
1.20807e+01;6.95742e-02;7.56626e-03
1.22160e+01;6.85561e-02;7.56626e-03
1.23528e+01;6.75266e-02;7.56626e-03
1.24912e+01;6.64856e-02;7.56626e-03
1.26311e+01;6.54329e-02;7.56626e-03
1.27726e+01;6.43684e-02;6.90479e-03
1.29156e+01;6.33861e-02;5.35232e-03
1.30603e+01;6.26162e-02;5.35232e-03
1.32066e+01;6.18376e-02;5.35232e-03
1.33545e+01;6.10503e-02;5.35232e-03
1.35041e+01;6.02542e-02;5.35232e-03
1.36553e+01;5.94491e-02;5.35232e-03
1.38083e+01;5.86351e-02;5.14398e-03
1.39629e+01;5.78439e-02;4.54350e-03
1.41193e+01;5.71373e-02;4.54350e-03
1.42775e+01;5.64228e-02;4.54350e-03
1.44374e+01;5.57003e-02;4.54350e-03
1.45991e+01;5.49696e-02;4.54350e-03
1.47626e+01;5.42308e-02;4.54350e-03
1.49279e+01;5.34838e-02;3.82345e-03
1.50951e+01;5.28480e-02;4.25360e-03
1.52642e+01;5.21329e-02;3.70075e-03
1.54352e+01;5.15037e-02;3.50215e-03
1.56081e+01;5.09016e-02;3.45967e-03
1.57829e+01;5.03002e-02;3.42347e-03
1.59597e+01;4.96984e-02;3.36015e-03
1.61384e+01;4.91011e-02;3.34464e-03
1.63192e+01;4.84999e-02;3.27182e-03
1.65020e+01;4.79051e-02;3.25201e-03
1.66868e+01;4.73074e-02;3.23465e-03
1.68737e+01;4.67062e-02;3.22866e-03
1.70627e+01;4.60994e-02;3.22120e-03
1.72538e+01;4.54873e-02;3.20704e-03
1.74470e+01;4.48710e-02;2.64981e-03
1.76425e+01;4.43560e-02;1.98943e-03
1.78401e+01;4.39651e-02;1.97933e-03
1.80399e+01;4.35718e-02;1.97933e-03
1.82419e+01;4.31741e-02;1.97924e-03
1.84462e+01;4.27719e-02;1.96869e-03
1.86529e+01;4.23675e-02;1.96869e-03
1.88618e+01;4.19584e-02;1.96869e-03
1.90730e+01;4.15449e-02;1.88821e-03
1.92867e+01;4.11437e-02;1.74319e-03
1.95027e+01;4.07693e-02;1.74319e-03
1.97211e+01;4.03906e-02;1.74319e-03
1.99420e+01;4.00077e-02;1.74103e-03
2.01654e+01;3.96210e-02;1.73148e-03
2.03912e+01;3.92321e-02;1.73148e-03
2.06196e+01;3.88388e-02;1.57725e-03
2.08506e+01;3.84766e-02;1.17510e-03
2.10841e+01;3.82037e-02;1.17480e-03
2.13203e+01;3.79278e-02;1.17407e-03
2.15591e+01;3.76490e-02;1.17407e-03
2.18005e+01;3.73671e-02;1.17407e-03
2.20447e+01;3.70820e-02;1.17407e-03
2.22916e+01;3.67937e-02;1.16357e-03
2.25413e+01;3.65048e-02;1.11582e-03
2.27938e+01;3.62247e-02;8.62556e-04
2.30491e+01;3.60057e-02;8.62556e-04
2.33072e+01;3.57842e-02;8.62556e-04
2.35683e+01;3.55603e-02;8.62556e-04
2.38323e+01;3.53339e-02;8.62747e-04
2.40992e+01;3.51049e-02;8.62857e-04
2.43691e+01;3.48733e-02;8.62857e-04
2.46421e+01;3.46391e-02;8.62857e-04
2.49181e+01;3.44023e-02;7.27380e-04
2.51972e+01;3.42004e-02;7.00480e-04
2.54794e+01;3.40038e-02;6.97229e-04
2.57648e+01;3.38059e-02;6.97229e-04
2.60533e+01;3.36058e-02;6.97229e-04
2.63452e+01;3.34035e-02;6.97229e-04
2.66402e+01;3.31989e-02;7.20950e-04
2.69386e+01;3.29850e-02;1.01147e-03
2.72403e+01;3.26815e-02;6.71227e-04
2.75455e+01;3.24779e-02;6.03551e-04
2.78540e+01;3.22927e-02;5.94314e-04
2.81660e+01;3.21083e-02;5.81342e-04
2.84814e+01;3.19259e-02;5.62142e-04
2.88004e+01;3.17476e-02;5.54960e-04
2.91230e+01;3.15696e-02;5.46095e-04
2.94492e+01;3.13924e-02;5.44332e-04
2.97790e+01;3.12139e-02;4.01738e-04
3.01126e+01;3.10806e-02;3.95471e-04
3.04499e+01;3.09480e-02;3.93009e-04
3.07909e+01;3.08147e-02;3.88852e-04
3.11358e+01;3.06814e-02;3.86457e-04
3.14845e+01;3.05473e-02;3.81903e-04
3.18372e+01;3.04134e-02;3.78781e-04
3.21938e+01;3.02791e-02;3.78781e-04
3.25543e+01;3.01433e-02;3.31276e-04
3.29190e+01;3.00231e-02;2.82453e-04
3.32877e+01;2.99196e-02;2.82453e-04
3.36605e+01;2.98149e-02;2.80635e-04
3.40375e+01;2.97096e-02;2.78699e-04
3.44188e+01;2.96040e-02;2.76538e-04
3.48043e+01;2.94980e-02;2.76538e-04
3.51941e+01;2.93908e-02;2.76538e-04
3.55883e+01;2.92824e-02;2.72841e-04
3.59869e+01;2.91742e-02;2.12765e-04
3.63900e+01;2.90889e-02;2.12765e-04
3.67976e+01;2.90027e-02;2.12658e-04
3.72097e+01;2.89155e-02;2.12656e-04
3.76265e+01;2.88274e-02;2.12469e-04
3.80479e+01;2.87384e-02;2.12164e-04
3.84741e+01;2.86485e-02;2.12164e-04
3.89050e+01;2.85575e-02;2.12164e-04
3.93407e+01;2.84656e-02;1.48643e-04
3.97814e+01;2.84005e-02;1.36813e-04
4.02270e+01;2.83398e-02;1.36432e-04
4.06775e+01;2.82787e-02;1.36432e-04
4.11331e+01;2.82169e-02;1.36432e-04
4.15938e+01;2.81544e-02;1.36432e-04
4.20597e+01;2.80912e-02;9.29281e-04
4.25308e+01;2.76559e-02;5.23985e-04
4.30072e+01;2.74076e-02;3.78289e-04
4.34889e+01;2.72264e-02;3.32060e-04
4.39760e+01;2.70656e-02;2.99239e-04
4.44685e+01;2.69190e-02;2.52106e-04
4.49666e+01;2.67941e-02;2.39945e-04
4.54702e+01;2.66740e-02;2.22183e-04
4.59795e+01;2.65614e-02;2.17900e-04
