Energy;IntFlux;DiffFlux
6.90259e-01;1.00621e-05;2.69289e+00
7.00435e-01;1.01496e-05;2.69289e+00
7.10762e-01;1.02262e-05;2.69289e+00
7.21241e-01;1.03050e-05;2.69289e+00
7.31874e-01;1.03863e-05;2.69289e+00
7.42665e-01;1.04701e-05;2.69289e+00
7.53614e-01;1.05565e-05;2.69289e+00
7.64724e-01;1.06457e-05;2.69289e+00
7.75999e-01;1.07378e-05;2.69289e+00
7.87440e-01;1.08328e-05;2.69289e+00
7.99049e-01;1.09310e-05;2.69289e+00
8.10830e-01;1.10130e-05;2.69289e+00
8.22784e-01;1.10958e-05;2.69289e+00
8.34914e-01;1.11811e-05;2.69289e+00
8.47224e-01;1.12691e-05;2.69289e+00
8.59714e-01;1.13597e-05;2.69289e+00
8.72389e-01;1.14532e-05;2.69289e+00
8.85251e-01;1.15496e-05;2.69289e+00
8.98303e-01;1.16491e-05;2.69289e+00
9.11546e-01;1.17519e-05;2.69289e+00
9.24986e-01;1.18580e-05;2.69289e+00
9.38623e-01;1.19677e-05;2.69288e+00
9.52461e-01;1.20811e-05;2.69288e+00
9.66503e-01;1.21984e-05;2.69288e+00
9.80753e-01;1.23198e-05;2.69288e+00
9.95212e-01;1.24454e-05;2.69288e+00
1.00988e+00;1.25543e-05;2.69288e+00
1.02477e+00;1.26563e-05;2.69288e+00
1.03988e+00;1.27615e-05;2.69288e+00
1.05521e+00;1.28700e-05;2.69288e+00
1.07077e+00;1.29820e-05;2.69288e+00
1.08656e+00;1.30977e-05;2.69288e+00
1.10258e+00;1.32172e-05;2.69288e+00
1.11883e+00;1.33407e-05;2.69288e+00
1.13533e+00;1.34685e-05;2.69288e+00
1.15207e+00;1.36006e-05;2.69288e+00
1.16905e+00;1.37373e-05;2.69288e+00
1.18629e+00;1.38789e-05;2.69288e+00
1.20378e+00;1.40177e-05;2.69288e+00
1.22152e+00;1.41317e-05;2.69288e+00
1.23953e+00;1.42493e-05;2.69288e+00
1.25781e+00;1.43707e-05;2.69288e+00
1.27635e+00;1.44959e-05;2.69288e+00
1.29517e+00;1.46253e-05;2.69288e+00
1.31426e+00;1.47590e-05;2.69288e+00
1.33364e+00;1.48971e-05;2.69288e+00
1.35330e+00;1.50400e-05;2.69288e+00
1.37325e+00;1.51877e-05;2.69288e+00
1.39350e+00;1.53407e-05;2.69288e+00
1.41405e+00;1.54991e-05;2.69288e+00
1.43489e+00;1.56631e-05;2.69288e+00
1.45605e+00;1.58332e-05;2.69288e+00
1.47751e+00;1.60096e-05;2.69288e+00
1.49930e+00;1.61927e-05;2.69288e+00
1.52140e+00;1.63240e-05;2.69288e+00
1.54383e+00;1.64575e-05;2.69288e+00
1.56659e+00;1.65952e-05;2.69288e+00
1.58969e+00;1.67373e-05;2.69288e+00
1.61313e+00;1.68840e-05;2.69288e+00
1.63691e+00;1.70355e-05;2.69287e+00
1.66104e+00;1.71920e-05;2.69287e+00
1.68553e+00;1.73538e-05;2.69287e+00
1.71038e+00;1.75211e-05;2.69287e+00
1.73560e+00;1.76942e-05;2.69287e+00
1.76119e+00;1.78734e-05;2.69287e+00
1.78715e+00;1.80589e-05;2.69287e+00
1.81350e+00;1.82511e-05;2.69287e+00
1.84024e+00;1.84504e-05;2.69287e+00
1.86737e+00;1.86572e-05;2.69287e+00
1.89490e+00;1.88717e-05;2.69287e+00
1.92284e+00;1.90945e-05;2.69287e+00
1.95119e+00;1.93260e-05;2.69287e+00
1.97995e+00;1.95667e-05;2.69287e+00
2.00914e+00;1.97916e-05;2.69287e+00
2.03876e+00;1.99672e-05;2.69287e+00
2.06882e+00;2.01486e-05;2.69287e+00
2.09932e+00;2.03361e-05;2.69287e+00
2.13027e+00;2.05299e-05;2.69287e+00
2.16168e+00;2.07303e-05;2.69286e+00
2.19355e+00;2.09377e-05;2.69286e+00
2.22589e+00;2.11525e-05;2.69286e+00
2.25871e+00;2.13750e-05;2.69286e+00
